INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
ALG_RSA_PKCS1;yes;0.748000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.731000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;1.417000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;1.520000
ALG_RSA_PKCS1_OAEP;yes;1.503000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.847000
ALG_AES_CBC_ISO9797_M2;yes;1.501000
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;yes;0.863000
ALG_AES_ECB_ISO9797_M2;yes;1.625000
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.857000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0.935000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0.890000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.960000
ALG_RSA_SHA_PKCS1;yes;1.820000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.977000
ALG_AES_MAC_128_NOPAD;yes;1.888000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.935000
ALG_RSA_SHA_PKCS1_PSS;yes;1.755000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.979000
ALG_ECDSA_SHA_384;yes;1.902000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.972000
ALG_ECDSA_SHA_512;yes;1.896000
ALG_RSA_SHA_224_PKCS1;yes;1.957000
ALG_RSA_SHA_256_PKCS1;yes;1.909000
ALG_RSA_SHA_384_PKCS1;yes;1.938000
ALG_RSA_SHA_512_PKCS1;yes;1.897000
ALG_RSA_SHA_224_PKCS1_PSS;yes;1.927000
ALG_RSA_SHA_256_PKCS1_PSS;yes;1.897000
ALG_RSA_SHA_384_PKCS1_PSS;yes;1.926000
ALG_RSA_SHA_512_PKCS1_PSS;yes;1.891000
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;
ALG_AES_CMAC_128;yes;0.952000

javacard.security.MessageDigest
ALG_SHA;yes;1.751000
ALG_MD5;no;
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.888000
ALG_SHA_384;yes;1.711000
ALG_SHA_512;yes;1.722000
ALG_SHA_224;yes;1.711000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;no;
ALG_SECURE_RANDOM;yes;0.832000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;yes;0.846000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;1.678000
TYPE_DES_TRANSIENT_DESELECT;yes;0.950000
TYPE_DES LENGTH_DES;yes;1.831000
TYPE_DES LENGTH_DES3_2KEY;yes;1.879000
TYPE_DES LENGTH_DES3_3KEY;yes;1.800000
TYPE_AES_TRANSIENT_RESET;yes;1.846000
TYPE_AES_TRANSIENT_DESELECT;yes;1.813000
TYPE_AES LENGTH_AES_128;yes;1.872000
TYPE_AES LENGTH_AES_192;yes;1.840000
TYPE_AES LENGTH_AES_256;yes;1.859000
TYPE_RSA_PUBLIC LENGTH_RSA_512;no;
TYPE_RSA_PUBLIC LENGTH_RSA_736;no;
TYPE_RSA_PUBLIC LENGTH_RSA_768;no;
TYPE_RSA_PUBLIC LENGTH_RSA_896;no;
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.973000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;1.925000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;1.910000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;1.953000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;1.922000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;yes;1.950000
TYPE_RSA_PUBLIC LENGTH_RSA_4096;yes;1.932000
TYPE_RSA_PRIVATE LENGTH_RSA_512;no;
TYPE_RSA_PRIVATE LENGTH_RSA_736;no;
TYPE_RSA_PRIVATE LENGTH_RSA_768;no;
TYPE_RSA_PRIVATE LENGTH_RSA_896;no;
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;1.066000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;1.932000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;1.986000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;1.962000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;2.011000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;1.032000
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;1.969000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;1.025000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;1.975000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;1.909000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;2.082000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;1.912000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;yes;1.930000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;yes;1.906000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;yes;1.907000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;yes;1.963000
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;yes;1.031000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;yes;1.974000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;1.982000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;1.989000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;1.970000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;1.989000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320;yes;1.982000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;1.973000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512;yes;1.981000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;yes;1.976000
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;yes;1.977000
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;yes;1.987000
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0.923000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;
ALG_EC_SVDP_DH_PLAIN;yes;0.931000
ALG_EC_SVDP_DHC_PLAIN;no;
ALG_EC_PACE_GM;yes;0.930000
ALG_EC_SVDP_DH_PLAIN_XY;yes;1.785000
ALG_DH_PLAIN;no;

javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0.962000
ALG_ISO3309_CRC32;no;

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;no;
ALG_RSA LENGTH_RSA_736;no;
ALG_RSA LENGTH_RSA_768;no;
ALG_RSA LENGTH_RSA_896;no;
ALG_RSA LENGTH_RSA_1024;yes;2.725000
ALG_RSA LENGTH_RSA_1280;yes;3.913000
ALG_RSA LENGTH_RSA_1536;yes;4.135000
ALG_RSA LENGTH_RSA_1984;yes;6.624000
ALG_RSA LENGTH_RSA_2048;yes;5.317000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;no;
ALG_RSA_CRT LENGTH_RSA_736;no;
ALG_RSA_CRT LENGTH_RSA_768;no;
ALG_RSA_CRT LENGTH_RSA_896;no;
ALG_RSA_CRT LENGTH_RSA_1024;yes;3.067000
ALG_RSA_CRT LENGTH_RSA_1280;yes;5.253000
ALG_RSA_CRT LENGTH_RSA_1536;yes;3.504000
ALG_RSA_CRT LENGTH_RSA_1984;yes;9.010000
ALG_RSA_CRT LENGTH_RSA_2048;yes;6.497000
ALG_RSA_CRT LENGTH_RSA_3072;yes;29.560000
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;error(ILLEGAL_VALUE);
ALG_EC_FP LENGTH_EC_FP_128;yes;3.266000
ALG_EC_FP LENGTH_EC_FP_160;yes;3.411000
ALG_EC_FP LENGTH_EC_FP_192;yes;3.520000
ALG_EC_FP LENGTH_EC_FP_224;yes;3.442000
ALG_EC_FP LENGTH_EC_FP_256;yes;3.557000
ALG_EC_FP LENGTH_EC_FP_384;yes;3.555000
ALG_EC_FP LENGTH_EC_FP_521;yes;3.630000

javacardx.crypto.AEADCipher
CIPHER_AES_CCM;no;
CIPHER_AES_GCM;no;


Total test time:; 387 seconds.
