INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Execution date/time; 2008/11/28 15:30:47
AlgTestJClient version; 1.0
AlgTest applet version; 0.1
Card name; G+D SmartCafe Expert 144k Dual
Used reader; PC/SC terminal Gemalto GemPC Twin 00 00,
Card ATR; 3b fd 18 00 00 80 31 fe 45 73 66 74 65 20 63 64 31 34 34 2d 6e 66 d8 ,
,
JavaCard support version;2.2.1;
ALG_RSA_CRT LENGTH_RSA_736;yes;1,790000
ALG_RSA_CRT LENGTH_RSA_768;yes;2,312000
ALG_RSA_CRT LENGTH_RSA_896;yes;2,694000
ALG_RSA_CRT LENGTH_RSA_1024;yes;3,274000
ALG_RSA_CRT LENGTH_RSA_1280;yes;2,962000
ALG_RSA_CRT LENGTH_RSA_1536;yes;5,457000
ALG_RSA_CRT LENGTH_RSA_1984;yes;8,442000
ALG_RSA_CRT LENGTH_RSA_2048;yes;13,835000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;
,
javacard.security.KeyPair ALG_DSA on-card generation;
ALG_DSA LENGTH_DSA_512;yes;0,290000
ALG_DSA LENGTH_DSA_768;yes;0,374000
ALG_DSA LENGTH_DSA_1024;yes;0,428000
,
javacard.security.KeyPair ALG_EC_F2M on-card generation;
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;
,
javacard.security.KeyPair ALG_EC_FP on-card generation;
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;no;
ALG_EC_FP LENGTH_EC_FP_192;no;
,
javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;

,
javacard.security.Checksum;
ALG_ISO3309_CRC16;no;
ALG_ISO3309_CRC32;no;
,
Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0,076000 sec;
Set random modulus;yes;0,050000 sec;
Set random public exponent;yes;0,051000 sec;
Initialize cipher with public key with random exponent;yes;0,022000 sec;
Use random public exponent;yes;0,219000 sec;
,
"Available RAM memory;2266 B;""\r\n",
Available EEPROM memory;120000 B;
