INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS
Execution date/time; 2018/12/05 08:30:33
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal Generic EMV Smartcard Reader 0
Card ATR; 3b 69 00 02 41 43 4f 53 4a 76 31 30 31
Card name; ACS ACOSJ 40K
Card provider; https://www.smartcardfocus.com/shop/ilp/id~790/acosj-dual-interface-java-card/p/index.shtml
Used protocol; T=0
High-power mode supported; no
Package_AID_test; ACS_ACOSJ_40K_AIDSUPPORT_3B69000241434F534A76313031.csv

JavaCard support version;3.0.4;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.256000
ALG_AES_CBC_ISO9797_M2;yes;0.268000
ALG_AES_CBC_PKCS5;yes;0.280000
ALG_AES_ECB_ISO9797_M1;yes;0.200000
ALG_AES_ECB_ISO9797_M2;yes;0.200000
ALG_AES_ECB_PKCS5;yes;0.213000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.241000
ALG_DES_MAC8_NOPAD;yes;0.250000
ALG_DES_MAC4_ISO9797_M1;yes;0.253000
ALG_DES_MAC8_ISO9797_M1;yes;0.258000
ALG_DES_MAC4_ISO9797_M2;yes;0.248000
ALG_DES_MAC8_ISO9797_M2;yes;0.250000
ALG_DES_MAC4_PKCS5;yes;0.253000
ALG_DES_MAC8_PKCS5;yes;0.250000
ALG_RSA_SHA_ISO9796;no;
ALG_RSA_SHA_PKCS1;no;
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.240000
ALG_AES_MAC_128_NOPAD;no;
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.260000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.251000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.250000
ALG_ECDSA_SHA_384;yes;0.250000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.241000
ALG_ECDSA_SHA_512;yes;0.250000
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;no;
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;yes;0.250000
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;0.257000
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.164000
ALG_MD5;yes;0.160000
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.170000
ALG_SHA_384;yes;0.169000
ALG_SHA_512;yes;0.190000
ALG_SHA_224;yes;0.180000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.070000
ALG_SECURE_RANDOM;yes;0.070000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.270000
TYPE_DES_TRANSIENT_DESELECT;yes;0.270000
TYPE_DES LENGTH_DES;yes;0.254000
TYPE_DES LENGTH_DES3_2KEY;yes;0.251000
TYPE_DES LENGTH_DES3_3KEY;yes;0.251000
TYPE_AES_TRANSIENT_RESET;yes;0.262000
TYPE_AES_TRANSIENT_DESELECT;yes;0.263000
TYPE_AES LENGTH_AES_128;yes;0.245000
TYPE_AES LENGTH_AES_192;yes;0.250000
TYPE_AES LENGTH_AES_256;yes;0.244000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.220000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0.220000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0.230000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0.221000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.220000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0.220000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0.232000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0.232000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0.227000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0.282000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0.304000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0.287000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0.300000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0.300000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0.290000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0.290000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0.286000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0.300000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;0.300000
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;0.300000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0.419000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0.430000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0.430000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0.431000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0.432000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0.433000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0.437000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0.446000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0.440000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;yes;0.426000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;yes;0.442000
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;yes;0.409000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;yes;0.420000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0.418000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0.430000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0.440000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0.430000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0.430000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED_TRANSIENT_RESET;yes;0.264000
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;yes;0.255000
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;yes;0.254000
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0.124000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0.116000
ALG_EC_SVDP_DH_PLAIN;yes;0.110000
ALG_EC_SVDP_DHC_PLAIN;yes;0.120000
ALG_EC_PACE_GM;no;
ALG_EC_SVDP_DH_PLAIN_XY;no;
ALG_DH_PLAIN;no;
javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0.168000
ALG_ISO3309_CRC32;yes;0.180000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;0.670000
ALG_RSA LENGTH_RSA_736;yes;0.954000
ALG_RSA LENGTH_RSA_768;yes;0.839000
ALG_RSA LENGTH_RSA_896;yes;1.200000
ALG_RSA LENGTH_RSA_1024;yes;1.299000
ALG_RSA LENGTH_RSA_1280;yes;1.104000
ALG_RSA LENGTH_RSA_1536;yes;2.803000
ALG_RSA LENGTH_RSA_1984;yes;4.663000
ALG_RSA LENGTH_RSA_2048;yes;19.366000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;yes;0.576000

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;0.801000
ALG_RSA_CRT LENGTH_RSA_736;yes;1.053000
ALG_RSA_CRT LENGTH_RSA_768;yes;1.050000
ALG_RSA_CRT LENGTH_RSA_896;yes;0.906000
ALG_RSA_CRT LENGTH_RSA_1024;yes;1.190000
ALG_RSA_CRT LENGTH_RSA_1280;yes;1.802000
ALG_RSA_CRT LENGTH_RSA_1536;yes;2.154000
ALG_RSA_CRT LENGTH_RSA_1984;yes;17.473000
ALG_RSA_CRT LENGTH_RSA_2048;yes;2.894000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;yes;0.720000

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;yes;0.970000
ALG_EC_FP LENGTH_EC_FP_128;yes;1.220000
ALG_EC_FP LENGTH_EC_FP_160;yes;1.304000
ALG_EC_FP LENGTH_EC_FP_192;yes;1.313000
ALG_EC_FP LENGTH_EC_FP_224;yes;1.370000
ALG_EC_FP LENGTH_EC_FP_256;yes;1.360000
ALG_EC_FP LENGTH_EC_FP_384;yes;1.515000
ALG_EC_FP LENGTH_EC_FP_521;no;

javacardx.crypto.AEADCipher
CIPHER_AES_CCM;no;
CIPHER_AES_GCM;no;

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0.341000 sec;
Set random modulus;yes;0.039000 sec;
Set random public exponent;yes;0.050000 sec;
Initialize cipher with public key with random exponent;yes;0.050000 sec;
Use random public exponent;yes;0.261000 sec;

Total test time:; 146 seconds.
