Axalto Cyberflex Palmera V5,,
Card ATR: 3B:E6:00:00:81:21:45:32:4B:01:01:01:01:7A,,
"Note: Card is probably without garbage collector - it is not possible to test all supported algorithms at once. When ceratin number of instances is allocated, further instances cannot be obtained, even when supported by card. Re-installation of whole applet is necessary. ",,
AlgTestJClient version; 1.0
AlgTest applet version; 0.1

JavaCard support version;2.1.2;
javacardx.apdu.ExtendedLength; 
Extended APDU;no

javacardx.crypto.Cipher,supported,time
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192,no,
TYPE_KOREAN_SEED_TRANSIENT_RESET,no,
TYPE_KOREAN_SEED_TRANSIENT_DESELECT,no,
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128,no,
TYPE_HMAC_TRANSIENT_RESET,no,
TYPE_HMAC_TRANSIENT_DESELECT,no,
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64,no,
javacard.security.KeyPair ALG_RSA on-card generation,,
ALG_RSA LENGTH_RSA_512,yes,9.359
ALG_RSA LENGTH_RSA_736,yes,19.312,
ALG_RSA LENGTH_RSA_768,yes,41.516,
ALG_RSA LENGTH_RSA_896,yes,2.438,
ALG_RSA LENGTH_RSA_1024,yes,21.523,
ALG_RSA LENGTH_RSA_1280,yes,18.969,
ALG_RSA LENGTH_RSA_1536,no,,
ALG_RSA LENGTH_RSA_1984,no,,
ALG_RSA LENGTH_RSA_2048,no,,
ALG_RSA LENGTH_RSA_3072,no,
ALG_RSA LENGTH_RSA_4096,no,


javacard.security.KeyPair ALG_RSA_CRT on-card generation,,,
ALG_RSA_CRT LENGTH_RSA_512,yes,8.688,
ALG_RSA_CRT LENGTH_RSA_736,error,,repeated internal error 6f 00
ALG_RSA_CRT LENGTH_RSA_768,yes,17.875,
ALG_RSA_CRT LENGTH_RSA_896,error,,repeated internal error 6f 00
ALG_RSA_CRT LENGTH_RSA_1024,yes,39.11,
ALG_RSA_CRT LENGTH_RSA_1280,no,,
ALG_RSA_CRT LENGTH_RSA_1536,no,,
ALG_RSA_CRT LENGTH_RSA_1984,no,
ALG_RSA_CRT LENGTH_RSA_2048,no,
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;


javacard.security.KeyPair ALG_DSA on-card generation,,
ALG_DSA LENGTH_DSA_512,no,
ALG_DSA LENGTH_DSA_768,no,
ALG_DSA LENGTH_DSA_1024,no,
javacard.security.KeyPair ALG_EC_F2M on-card generation,,
ALG_EC_F2M LENGTH_EC_F2M_113,no,
ALG_EC_F2M LENGTH_EC_F2M_131,no,
ALG_EC_F2M LENGTH_EC_F2M_163,no,
ALG_EC_F2M LENGTH_EC_F2M_193,no,
javacard.security.KeyPair ALG_EC_FP on-card generation,,
ALG_EC_FP LENGTH_EC_FP_112,no,
ALG_EC_FP LENGTH_EC_FP_128,no,
ALG_EC_FP LENGTH_EC_FP_160,no,
ALG_EC_FP LENGTH_EC_FP_192,no,


javacard\.security\.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;

javacard.security.Checksum;
ALG_ISO3309_CRC16;no;
ALG_ISO3309_CRC32;no;
