INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS
Execution date/time; 2019/04/19 19:59:23
AlgTestJClient version; 1.7.7
AlgTest applet version; 1.7.7
Used reader; PC/SC terminal Generic EMV Smartcard Reader 0
Card ATR; 3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 13 09
Card name; Athena IDProtect
Used protocol; T=1
Package_AID_test; Athena_IDProtect_AIDSUPPORT_3BD518FF8191FE1FC38073C8211309.csv 

JavaCard support version;2.2.2;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0.048000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0.051000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0.052000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0.051000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0.054000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0.056000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0.057000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0.059000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0.058000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0.049000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0.054000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0.054000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0.051000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320;yes;0.061000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0.063000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512;yes;0.059000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;yes;0.061000
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED_TRANSIENT_RESET;yes;0.058000
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;yes;0.084000
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;yes;0.046000
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0.033000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0.034000
ALG_EC_SVDP_DH_PLAIN;yes;0.034000
ALG_EC_SVDP_DHC_PLAIN;yes;0.035000
ALG_EC_PACE_GM;no;
ALG_EC_SVDP_DH_PLAIN_XY;no;
ALG_DH_PLAIN;no;

javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0.034000
ALG_ISO3309_CRC32;yes;0.035000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;1.318000
ALG_RSA LENGTH_RSA_736;yes;1.428000
ALG_RSA LENGTH_RSA_768;yes;0.718000
ALG_RSA LENGTH_RSA_896;yes;2.718000
ALG_RSA LENGTH_RSA_1024;yes;3.514000
ALG_RSA LENGTH_RSA_1280;yes;13.239000
ALG_RSA LENGTH_RSA_1536;yes;17.424000
ALG_RSA LENGTH_RSA_1984;yes;16.201000
ALG_RSA LENGTH_RSA_2048;yes;13.643000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;1.644000
ALG_RSA_CRT LENGTH_RSA_736;yes;0.536000
ALG_RSA_CRT LENGTH_RSA_768;yes;1.088000
ALG_RSA_CRT LENGTH_RSA_896;yes;3.420000
ALG_RSA_CRT LENGTH_RSA_1024;yes;4.805000
ALG_RSA_CRT LENGTH_RSA_1280;yes;11.913000
ALG_RSA_CRT LENGTH_RSA_1536;yes;17.009000
ALG_RSA_CRT LENGTH_RSA_1984;yes;10.609000
ALG_RSA_CRT LENGTH_RSA_2048;yes;9.201000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;yes;0.816000
ALG_EC_FP LENGTH_EC_FP_192;yes;0.911000
ALG_EC_FP LENGTH_EC_FP_224;yes;1.079000
ALG_EC_FP LENGTH_EC_FP_256;yes;1.220000
ALG_EC_FP LENGTH_EC_FP_384;yes;2.016000
ALG_EC_FP LENGTH_EC_FP_521;yes;3.566000

javacardx.crypto.AEADCipher
CIPHER_AES_CCM;no;
CIPHER_AES_GCM;no;

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0.134000 sec;
Set random modulus;yes;0.038000 sec;
Set random public exponent;yes;1.212000 sec;
Initialize cipher with public key with random exponent;yes;0.334000 sec;
Use random public exponent;yes;0.125000 sec;

Total test time:; 166 seconds.
