Used reader;Gemplus USB Smart Card Reader 0;;;;
ALG_RSA LENGTH_RSA_1280;yes;21.547000;;;
ALG_RSA LENGTH_RSA_1536;yes;34.765000;;;
ALG_RSA LENGTH_RSA_1984;yes;55.188000;;;
ALG_RSA LENGTH_RSA_2048;yes;44.828000;;;
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;
;;;;;
javacard.security.KeyPair ALG_RSA_CRT on-card generation;;;;;
ALG_RSA_CRT LENGTH_RSA_512;yes;1.844000;;;
ALG_RSA_CRT LENGTH_RSA_736;no;;;;
ALG_RSA_CRT LENGTH_RSA_768;yes;2.562000;;;
ALG_RSA_CRT LENGTH_RSA_896;yes;8.703000;;;
ALG_RSA_CRT LENGTH_RSA_1024;yes;10.985000;;;
ALG_RSA_CRT LENGTH_RSA_1280;yes;7.484000;;;
ALG_RSA_CRT LENGTH_RSA_1536;yes;7.016000;;;
ALG_RSA_CRT LENGTH_RSA_1984;yes;41.734000;;;
ALG_RSA_CRT LENGTH_RSA_2048;yes;66.141000;;;
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;
;;;;;
javacard.security.KeyPair ALG_DSA on-card generation;;;;;
ALG_DSA LENGTH_DSA_512;no;;;;
ALG_DSA LENGTH_DSA_768;no;;;;
ALG_DSA LENGTH_DSA_1024;no;;;;
;;;;;
javacard.security.KeyPair ALG_EC_F2M on-card generation;;;;;
ALG_EC_F2M LENGTH_EC_F2M_113;no;;;;
ALG_EC_F2M LENGTH_EC_F2M_131;no;;;;
ALG_EC_F2M LENGTH_EC_F2M_163;no;;;;
ALG_EC_F2M LENGTH_EC_F2M_193;no;;;;
;;;;;
javacard.security.KeyPair ALG_EC_FP on-card generation;;;;;
ALG_EC_FP LENGTH_EC_FP_112;no;;;;
ALG_EC_FP LENGTH_EC_FP_128;no;;;;
ALG_EC_FP LENGTH_EC_FP_160;no;;;;
ALG_EC_FP LENGTH_EC_FP_192;no;;;;


javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;

javacard.security.Checksum;
ALG_ISO3309_CRC16;?;
ALG_ISO3309_CRC32;?;
