INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Luka Logar
Execution date/time; 2018/11/20 13:54:37
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal OMNIKEY AG CardMan 3121 00 00
Card ATR; 3b fe 18 00 00 80 31 fe 45 80 31 80 66 40 90 a5 10 2e 10 83 07 90 00 f4
Card name; Infineon jTOP ID SLJ 52GCA150CL
Card provider; https://www.smartcardsource.com
Used protocol; T=1

JCSystem.getVersion()[Major.Minor];3.0;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0,161000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0,181000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0,183000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0,164000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0,213000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0,088000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0,098000
ALG_EC_SVDP_DH_PLAIN;yes;0,106000
ALG_EC_SVDP_DHC_PLAIN;yes;0,104000
ALG_EC_PACE_GM;no;
ALG_EC_SVDP_DH_PLAIN_XY;no;
ALG_DH_PLAIN;no;
javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0,096000
ALG_ISO3309_CRC32;yes;0,103000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;0,862000
ALG_RSA LENGTH_RSA_736;yes;0,754000
ALG_RSA LENGTH_RSA_768;yes;1,174000
ALG_RSA LENGTH_RSA_896;yes;1,012000
ALG_RSA LENGTH_RSA_1024;yes;0,621000
ALG_RSA LENGTH_RSA_1280;yes;2,667000
ALG_RSA LENGTH_RSA_1536;yes;8,371000
ALG_RSA LENGTH_RSA_1984;yes;1,758000
ALG_RSA LENGTH_RSA_2048;yes;8,299000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;0,599000
ALG_RSA_CRT LENGTH_RSA_736;yes;1,155000
ALG_RSA_CRT LENGTH_RSA_768;yes;0,720000
ALG_RSA_CRT LENGTH_RSA_896;yes;1,638000
ALG_RSA_CRT LENGTH_RSA_1024;yes;1,341000
ALG_RSA_CRT LENGTH_RSA_1280;yes;1,467000
ALG_RSA_CRT LENGTH_RSA_1536;yes;2,813000
ALG_RSA_CRT LENGTH_RSA_1984;yes;30,086000
ALG_RSA_CRT LENGTH_RSA_2048;yes;3,450000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;yes;0,463000
ALG_EC_FP LENGTH_EC_FP_192;yes;0,528000
ALG_EC_FP LENGTH_EC_FP_224;yes;0,568000
ALG_EC_FP LENGTH_EC_FP_256;yes;0,533000
ALG_EC_FP LENGTH_EC_FP_384;yes;0,781000
ALG_EC_FP LENGTH_EC_FP_521;no;

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0,143000 sec;
Set random modulus;yes;0,069000 sec;
Set random public exponent;no;
Initialize cipher with public key with random exponent;no;
Use random public exponent;no;

Total test time:; 116 seconds.
