INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Luka Logar
Execution date/time; 2018/11/21 08:28:24
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal OMNIKEY AG CardMan 3121 00 00
Card ATR; 3b 11 95 80
Card name; NXP J3H145
Card provider; https://www.javacardos.com
Used protocol; T=0

JCSystem.getVersion()[Major.Minor];3.0;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0,092000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0,081000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0,083000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0,085000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;yes;0,098000
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0,047000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0,047000
ALG_EC_SVDP_DH_PLAIN;yes;0,062000
ALG_EC_SVDP_DHC_PLAIN;yes;0,062000
ALG_EC_PACE_GM;yes;0,062000
ALG_EC_SVDP_DH_PLAIN_XY;yes;0,062000
ALG_DH_PLAIN;yes;0,051000

javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0,061000
ALG_ISO3309_CRC32;yes;0,074000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;0,702000
ALG_RSA LENGTH_RSA_736;yes;0,800000
ALG_RSA LENGTH_RSA_768;yes;1,081000
ALG_RSA LENGTH_RSA_896;yes;1,616000
ALG_RSA LENGTH_RSA_1024;yes;2,539000
ALG_RSA LENGTH_RSA_1280;yes;1,860000
ALG_RSA LENGTH_RSA_1536;yes;3,826000
ALG_RSA LENGTH_RSA_1984;yes;10,755000
ALG_RSA LENGTH_RSA_2048;yes;2,603000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;0,890000
ALG_RSA_CRT LENGTH_RSA_736;yes;1,466000
ALG_RSA_CRT LENGTH_RSA_768;yes;1,717000
ALG_RSA_CRT LENGTH_RSA_896;yes;1,114000
ALG_RSA_CRT LENGTH_RSA_1024;yes;1,909000
ALG_RSA_CRT LENGTH_RSA_1280;yes;2,248000
ALG_RSA_CRT LENGTH_RSA_1536;yes;7,434000
ALG_RSA_CRT LENGTH_RSA_1984;yes;11,486000
ALG_RSA_CRT LENGTH_RSA_2048;yes;8,085000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;yes;0,553000
ALG_EC_FP LENGTH_EC_FP_192;yes;0,541000
ALG_EC_FP LENGTH_EC_FP_224;yes;0,641000
ALG_EC_FP LENGTH_EC_FP_256;yes;0,696000
ALG_EC_FP LENGTH_EC_FP_384;yes;0,990000
ALG_EC_FP LENGTH_EC_FP_521;yes;1,728000

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0,080000 sec;
Set random modulus;yes;0,031000 sec;
Set random public exponent;yes;0,060000 sec;
Initialize cipher with public key with random exponent;yes;0,024000 sec;
Use random public exponent;yes;0,120000 sec;

Total test time:; 115 seconds.
