INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Luka Logar
Execution date/time; 2018/11/21 09:01:07
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal Giesecke & Devrient GmbH StarSign CUT S [.] (Q1160406001242) 01 00
Card ATR; 3b f0 96 00 00 81 31 fe 45 6d
Card name; G+D StarSign Crypto USB token S
Card provider; https://www.idpendant.de
Used protocol; T=1

JavaCard support version;3.0.4

JCSystem.getVersion()[Major.Minor];3.0;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;yes;0,065000
TYPE_DSA_PRIVATE LENGTH_DSA_512;yes;0,080000
TYPE_DSA_PRIVATE LENGTH_DSA_768;yes;0,082000
TYPE_DSA_PRIVATE LENGTH_DSA_1024;yes;0,080000
TYPE_DSA_PRIVATE_TRANSIENT_RESET;yes;0,068000
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;yes;0,070000
TYPE_DSA_PUBLIC LENGTH_DSA_512;yes;0,081000
TYPE_DSA_PUBLIC LENGTH_DSA_768;yes;0,088000
TYPE_DSA_PUBLIC LENGTH_DSA_1024;yes;0,076000
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;yes;0,073000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;yes;0,082000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0,083000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;0,085000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;0,076000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;0,085000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;yes;0,080000
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;yes;0,082000
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;yes;0,063000
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;yes;0,066000
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard.security.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;yes;0,050000
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;yes;0,048000
ALG_EC_SVDP_DH_PLAIN;yes;0,063000
ALG_EC_SVDP_DHC_PLAIN;yes;0,060000
ALG_EC_PACE_GM;no;
ALG_EC_SVDP_DH_PLAIN_XY;no;
ALG_DH_PLAIN;no;
javacard.security.Checksum
ALG_ISO3309_CRC16;yes;0,072000
ALG_ISO3309_CRC32;yes;0,086000

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;0,406000
ALG_RSA LENGTH_RSA_736;yes;0,428000
ALG_RSA LENGTH_RSA_768;yes;0,488000
ALG_RSA LENGTH_RSA_896;yes;0,730000
ALG_RSA LENGTH_RSA_1024;yes;0,690000
ALG_RSA LENGTH_RSA_1280;yes;1,194000
ALG_RSA LENGTH_RSA_1536;yes;2,296000
ALG_RSA LENGTH_RSA_1984;yes;3,793000
ALG_RSA LENGTH_RSA_2048;yes;7,810000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;0,377000
ALG_RSA_CRT LENGTH_RSA_736;yes;0,438000
ALG_RSA_CRT LENGTH_RSA_768;yes;0,511000
ALG_RSA_CRT LENGTH_RSA_896;yes;0,567000
ALG_RSA_CRT LENGTH_RSA_1024;yes;0,604000
ALG_RSA_CRT LENGTH_RSA_1280;yes;1,561000
ALG_RSA_CRT LENGTH_RSA_1536;yes;1,775000
ALG_RSA_CRT LENGTH_RSA_1984;yes;1,907000
ALG_RSA_CRT LENGTH_RSA_2048;yes;2,452000
ALG_RSA_CRT LENGTH_RSA_3072;yes;61,420000
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;yes;0,265000
ALG_DSA LENGTH_DSA_768;yes;0,270000
ALG_DSA LENGTH_DSA_1024;yes;0,296000

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;error(ILLEGAL_VALUE);
ALG_EC_FP LENGTH_EC_FP_128;yes;0,412000
ALG_EC_FP LENGTH_EC_FP_160;yes;0,438000
ALG_EC_FP LENGTH_EC_FP_192;yes;0,450000
ALG_EC_FP LENGTH_EC_FP_224;yes;0,467000
ALG_EC_FP LENGTH_EC_FP_256;yes;0,497000
ALG_EC_FP LENGTH_EC_FP_384;yes;0,620000
ALG_EC_FP LENGTH_EC_FP_521;yes;0,796000

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0,099000 sec;
Set random modulus;yes;0,043000 sec;
Set random public exponent;yes;0,033000 sec;
Initialize cipher with public key with random exponent;yes;0,012000 sec;
Use random public exponent;yes;0,064000 sec;

Total test time:; 163 seconds.
