Used reader;Gemplus GemPC Card Reader 0
Card ATR;3B:6D:00:00:80:31:80:65:40:90:86:01:51:83:07:90:00
AlgTestJClient version; 1.1
AlgTest applet version; 1.1
ALG_RSA LENGTH_RSA_4096;no;


javacard.security.KeyPair ALG_RSA_CRT on-card generation;
ALG_RSA_CRT LENGTH_RSA_512;no;
ALG_RSA_CRT LENGTH_RSA_736;no;
ALG_RSA_CRT LENGTH_RSA_768;no;
ALG_RSA_CRT LENGTH_RSA_896;no;
ALG_RSA_CRT LENGTH_RSA_1024;no;
ALG_RSA_CRT LENGTH_RSA_1280;no;
ALG_RSA_CRT LENGTH_RSA_1536;no;
ALG_RSA_CRT LENGTH_RSA_1984;no;
ALG_RSA_CRT LENGTH_RSA_2048;no;
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation;
ALG_DSA LENGTH_DSA_512;no;
ALG_DSA LENGTH_DSA_768;no;
ALG_DSA LENGTH_DSA_1024;no;

javacard.security.KeyPair ALG_EC_F2M on-card generation;
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation;
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;no;
ALG_EC_FP LENGTH_EC_FP_192;no;

javacard\.security\.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;

javacard.security.Checksum;
ALG_ISO3309_CRC16;no;
ALG_ISO3309_CRC32;no;

