INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;;
Tested and provided by;Paul Andrew Crocker;Paul Andrew Crocker
ALG_RSA_CRT LENGTH_RSA_2048;yes;yes
ALG_RSA_CRT LENGTH_RSA_3072;no;no
ALG_RSA_CRT LENGTH_RSA_4096;no;no
;;
javacard.security.KeyPair ALG_DSA on-card generation;;
ALG_DSA LENGTH_DSA_512;no;no
ALG_DSA LENGTH_DSA_768;no;no
ALG_DSA LENGTH_DSA_1024;no;no
;;
javacard.security.KeyPair ALG_EC_F2M on-card generation;;
ALG_EC_F2M LENGTH_EC_F2M_113;no;no
ALG_EC_F2M LENGTH_EC_F2M_131;no;no
ALG_EC_F2M LENGTH_EC_F2M_163;no;no
ALG_EC_F2M LENGTH_EC_F2M_193;no;no
;;
javacard.security.KeyPair ALG_EC_FP on-card generation;;
ALG_EC_FP LENGTH_EC_FP_112;no;no
ALG_EC_FP LENGTH_EC_FP_128;error(ILLEGAL_VALUE);error(ILLEGAL_VALUE)
ALG_EC_FP LENGTH_EC_FP_160;error(ILLEGAL_VALUE);error(ILLEGAL_VALUE)
ALG_EC_FP LENGTH_EC_FP_192;error(ILLEGAL_VALUE);error(ILLEGAL_VALUE)
ALG_EC_FP LENGTH_EC_FP_224;error(ILLEGAL_VALUE);error(ILLEGAL_VALUE)
ALG_EC_FP LENGTH_EC_FP_256;error(ILLEGAL_VALUE);error(ILLEGAL_VALUE)
ALG_EC_FP LENGTH_EC_FP_384;no;no
ALG_EC_FP LENGTH_EC_FP_521;no;no
;;
javacard.security.KeyAgreement;;
ALG_EC_SVDP_DH;yes;yes
ALG_EC_SVDP_DHC;no;no
ALG_EC_SVDP_DH_KDF;yes;yes
ALG_EC_SVDP_DH_PLAIN;yes;yes
ALG_EC_SVDP_DHC_KDF;no;no
ALG_EC_SVDP_DHC_PLAIN;no;no
;;
javacard.security.Checksum;;
ALG_ISO3309_CRC16;yes;yes
ALG_ISO3309_CRC32;no;no
;;
Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;;
Allocate RSA 1024 objects;yes;yes
Set random modulus;yes;yes
Set random public exponent;yes;yes
Initialize cipher with public key with random exponent;yes;yes
Use random public exponent;yes;yes
;;
Available RAM memory;974 B;974 B
;;
Card Applet Used;AlgTest_dist_v1.2.1\AlgTest_v1.2_jc2.2.2.cap;AlgTest.cap (compiled with JCDK 3.0.2 Connected edition)
